scenario_main_base,images_acquired,mission_urgency,exposure,rownum,pscore,sw,tmle_est,initial_likelihood_preds,likelihood_values,counterfactual_0,counterfactual_1,g_fit_pred,Q_fit_pred
1,0,0.9596,1,1,0.815628048566428,0.6914916682810296,-0.21845087550354214,0.189925660396466,0.2266995775448962,0,1,0.8141218880115553,0.18918515954173798
1,0,0.6092,1,2,0.7442319319400297,0.757828273411745,-0.2913774716154739,0.19211147643729107,0.23601437478949738,0,1,0.7431875711361522,0.19042335817480377
1,0,2.7557,1,3,0.9739422475333019,0.579089778093557,-0.16914144938794495,0.19101856841687853,0.21235458973104956,0,1,0.9619693925993185,0.19001062529711518
1,0,1.3803,1,4,0.8796835039127003,0.6411396797727962,-0.2502714645446661,0.1929858028536211,0.24298688773988916,0,1,0.8743441348285701,0.1928997554409353
0,1,-0.4237,0,5,0.4581620692399684,0.8046686568960324,-0.31339444312389453,0.8503331647717981,0.8111216062949321,1,0,0.4600779803931903,0.851949446572636
0,1,-1.8496,0,6,0.13330384756043623,0.5030598079531721,-0.20165932549361343,0.8503331647717981,0.8058588652375215,1,0,0.13617786267858512,0.851949446572636
0,1,0.2544,0,7,0.6555807817801674,1.2658991628095335,-0.4430426081600821,0.8503331647717981,0.8075643515052833,1,0,0.6553796970303764,0.851949446572636
1,1,0.7314999999999999,1,8,0.7710644161133617,0.7314563974342201,1.0477724132850685,0.25462581520488814,0.3076997643330805,0,1,0.7698156057467866,0.2554287864107567
0,1,-1.2385,0,9,0.24189481449675032,0.5751180816822563,-0.20415064142885975,0.8498960015636331,0.7961731974079156,1,0,0.24516315148320406,0.8515367136949474
0,1,0.07150000000000001,0,10,0.6046360135424963,1.1027812722817742,-0.4045632169232002,0.8501145831677156,0.7964035155764002,1,0,0.6049840865939781,0.851949446572636
1,0,1.2102,1,11,0.8564828900657306,0.658507025116072,-0.2686151793605318,0.189925660396466,0.22653261647891765,0,1,0.8531723667952555,0.18918515954173798
1,0,-0.6533,1,12,0.39115526372237264,1.4418826801224027,-0.5705000865269559,0.19451587408219864,0.2424770070989378,0,1,0.39367691125253634,0.19434432051284536
0,0,-1.8892,0,13,0.1279418133548711,0.49996663832412797,0.9461766081271181,0.7895674788368612,0.7259681032876519,1,0,0.13076353346495678,0.7941668436962334
1,0,0.4841,1,14,0.7147271415964773,0.7891123299728061,-0.292842714385276,0.21834126892719194,0.26776424846152846,0,1,0.713939758430897,0.2195210260518494
1,0,1.7227,1,15,0.9166487329015209,0.6152847647699663,-0.23601811246054183,0.190362823604631,0.21051707296268682,0,1,0.9083271371620885,0.1895978924194266
0,1,-0.0399,0,16,0.5723679488917472,1.0195681050334298,-0.3741409789524329,0.8503331647717981,0.7992646910026411,1,0,0.573071817132255,0.851949446572636
1,0,0.1884,1,17,0.637538174189738,0.8846529083796442,-0.372633378245654,0.22118282978026452,0.2764996257668403,0,1,0.637528571651004,0.2226165226345138
1,0,0.5363,1,18,0.7272852112578506,0.77548668839911306,-0.3032678156515092,0.19560878210261118,0.2407872644934859,0,1,0.7263848467015153,0.19847164928973127
1,1,0.5335,1,19,0.7266204555155656,0.7761961498865593,1.0748045501252315,0.24347815339668027,0.29626370367742366,0,1,0.7257259448434639,0.24201496788587756
0,1,-0.0443,0,20,0.5710787552065422,1.016503624598849,-0.3281354253196521,0.8503331647717981,0.7995269821308757,1,0,0.5717968539285948,0.851949446572636
1,0,1.5025,1,21,0.8942792788449727,0.6306754649715772,-0.24848972779424516,0.19801317974751875,0.2298624814638859,0,1,0.8877213219347626,0.19743981709550978
0,1,-1.9355,0,22,0.12190845778587556,0.4965313740531173,-0.21622404887709146,0.8042124463103891,0.7466463199454687,1,0,0.12466652407727945,0.808612494415334
0,1,-1.2164,0,23,0.2467721474318092,0.5788421106753063,-0.23003278896582646,0.8477101855228081,0.7932524675054303,1,0,0.2500349028358757,0.8498857821841931
0,0,-1.2112999999999998,0,24,0.24790706487234426,0.579715590502118,1.104903247610736,0.786070173171541,0.7202639164419832,1,0,0.25116829219670567,0.7951986758904548
1,0,-0.4963,1,25,0.43668826766104807,1.2915391636712568,-0.507620549340973,0.20741218872306658,0.2559464652217317,0,1,0.4388104337160257,0.20466264245506013
