image_A_captured,image_B_captured,A_dist,images_acquired,fuel_consumed,altitude,A_B_dist,region_sensitivity,ice_accrual,ice_sublimation,hard_landing,mission_duration,speed_avg,temp,mission_urgency,heavy_winds,humidity,scenario_main_base,bird_strike
1.4070999999999998,-1.3688,0.8389000000000001,-1.5474999999999999,1.5178999999999998,0.396,-1.9584,-0.9724999999999999,-0.587,-0.5714,1.7098999999999998,1.2595999999999998,-1.5211999999999999,1.2076999999999998,0.9596000000000001,1.9246999999999999,1.1353,1.2828,0.9647
0.6919,-0.8429000000000001,0.8149000000000001,-0.765,0.6209,1.1814,-1.0814,-1.177,-0.4501,-0.6797,0.8614,0.7816,-0.8762000000000001,0.5924999999999999,0.6092,0.8045,0.9540000000000001,0.7309,0.48710000000000003
2.6303,-2.6549,2.1635000000000004,-2.7406,2.6553,0.5903999999999999,-2.7352,-1.7741,-0.163,-2.4351,2.7788,2.5732,-1.6405,3.2523,2.7557,2.5921,2.8768999999999996,2.964,2.3045
1.4021,-1.3984,0.618,-1.4348999999999998,1.5803,0.6974999999999999,-1.4634999999999998,-1.7081,0.10300000000000001,-0.8773000000000001,1.573,1.4102,-1.0332999999999999,1.1600000000000001,1.3803,1.8133,1.0692,1.4064999999999999,1.0365
-1.5294999999999999,1.549,-1.0536999999999999,1.5427,-0.9542,-1.9181,2.0383,0.40430000000000005,1.6223,0.6952999999999999,-1.349,-1.2964,1.408,-1.4627,-0.4237,-0.8433,-1.4283,-1.1083,-1.5778999999999999
-1.6639,1.5548,-1.2509,1.6098999999999999,-2.2629,0.24530000000000002,1.2066,2.4183999999999997,-1.1606,1.9121,-1.8414,-1.9236999999999997,1.7256999999999998,-1.4309999999999998,-1.8496,-1.9457999999999998,-1.6694,-2.4074,-0.16740000000000002
-0.3063,0.3583,0.255,0.29430000000000006,-0.6339,0.7927,-0.0383,-0.21230000000000002,-0.1837,0.21470000000000003,-0.44680000000000003,-0.388,-0.32130000000000003,-1.1715,0.2544,-0.8633000000000001,-0.29890000000000005,-0.38930000000000003,-0.1903
-0.5212,0.3554,1.3034,0.48730000000000007,-0.8101,0.006,0.328,-0.0492,-0.6791999999999999,-0.28640000000000004,-0.6091,-0.35319999999999996,1.4975999999999998,-0.8622000000000001,0.7314999999999999,-1.2362,0.7317,0.1351,0.6379
-0.28680000000000005,0.192,-0.42380000000000007,0.42030000000000006,-0.7377,-1.3338999999999999,1.0754,0.24860000000000002,1.6829,-0.4549,-0.7963999999999999,-0.2666,0.43410000000000004,-0.9223,-1.2385,-0.9432,-0.4919,-0.2831,-0.7567
-1.1842000000000001,0.8818,0.8095,1.2712999999999999,-1.9129999999999998,0.0415,0.6904999999999999,0.1899,-0.8638000000000001,0.14200000000000002,-1.6134,-0.9951,2.3149999999999995,-1.5516999999999999,0.07150000000000001,-2.0051,-0.0157,-0.48330000000000006,0.1865
0.6117,-0.5482,0.9943,-0.5577000000000001,0.20800000000000002,1.0973,-1.3043,-0.9116000000000001,-1.0432,-0.0437,0.5863999999999999,0.5759000000000001,-0.1891,0.6332,1.2102,0.3825,0.5706000000000001,0.7883999999999999,1.3263
1.2538999999999998,-1.2583,-0.126,-1.2430999999999999,1.2585,-0.24760000000000001,-0.28730000000000006,-0.0512,0.2655,-0.6512,1.1277,1.2086999999999999,-0.8779000000000001,1.9203999999999999,-0.6533,0.6435,0.5086,0.7339,0.8944
-0.0101,0.083,-0.4955,-0.1103,0.12110000000000001,1.7648,-0.20590000000000003,2.2698,-1.675,1.3031,0.2559,-0.15500000000000003,-0.7139,0.053200000000000004,-1.8892,-0.0137,-0.5445,-0.8565,-0.16140000000000002
0.3018,-0.233,-0.0529,-0.29460000000000003,0.41580000000000006,-1.112,0.029699999999999997,0.19640000000000002,0.884,-0.7354999999999999,0.4537,0.3505,-0.15500000000000003,0.2635,0.48410000000000003,0.5115,0.12220000000000002,0.0922,0.0143
1.2334999999999998,-1.4068999999999998,1.3979,-1.2011999999999998,0.6920999999999999,0.33069999999999994,-1.4317999999999997,-2.0023,0.7119,-1.8427,1.0484,1.2288,-0.42590000000000006,0.5959,1.7227,1.1694,1.6844000000000001,1.6239,1.1928
-1.3767,1.2607,-0.3287,1.5846,-2.078,-0.48560000000000003,0.9974,0.40850000000000003,0.5048,0.5339,-1.7686,-1.3377999999999999,1.4941,-1.7715999999999998,-0.0399,-1.873,-0.6133,-0.7795,-0.5516000000000001
0.7121999999999999,-0.8198000000000001,1.275,-0.7089,0.38430000000000003,0.8367000000000001,-0.8404,-0.13940000000000002,-0.2066,-0.5911,0.5245,0.7041,0.1109,0.0859,0.1884,-0.006,0.9544,1.133,1.1221
0.6143,-0.8064,0.5963999999999999,-0.7163999999999999,0.0616,1.4452999999999998,-1.6123,-0.5922999999999999,-1.2834999999999999,-0.21020000000000003,0.3525,0.4771,-0.21270000000000003,0.7542,0.5363,0.0063,1.1932,0.12220000000000002,1.0714
0.21200000000000002,-0.10670000000000002,0.8596000000000001,0.0896,0.11120000000000001,-0.9127000000000001,-0.12000000000000001,0.09570000000000001,1.6711,-1.4551999999999998,-0.0063,0.5871999999999999,0.13940000000000002,-0.6513,0.5335,0.35919999999999996,0.7566,0.5872999999999999,-0.1113
-0.1645,0.3036,-0.2607,0.21670000000000003,-0.0868,0.35619999999999996,0.0645,-0.0378,0.8011,0.0443,-0.0058000000000000005,-0.15070000000000003,-0.3698,-0.6940999999999999,-0.0443,0.3975,-0.22990000000000002,-0.3279,-0.6447
0.9012,-0.9923,1.3073,-0.9039,1.0431,0.0643,-1.5924,-1.8883,-0.5282,-1.3497,0.9055,1.0521,0.0041,1.1472,1.5025,0.8754000000000001,1.5231,1.7069999999999999,0.9059
