scenario_main_base,images_acquired,region_sensitivity,exposure,rownum,pscore,sw,tmle_est,initial_likelihood_preds,likelihood_values,counterfactual_0,counterfactual_1,g_fit_pred,Q_fit_pred
1,0,-0.9725,1,1,0.9303075510947879,0.6062511255942011,-0.19251933813056166,0.15166481814965657,0.2809462055458807,0,1,0.9395994356686671,0.181685492826764
1,0,-1.177,1,2,0.9548960924667388,0.5906401800671788,-0.1989494081515777,0.13370708504768306,0.1856411250284693,0,1,0.9631716006741827,0.14621758389863157
1,0,-1.7741,1,3,0.975,0.5784615384615385,-0.189175177997421,0.0914385489497186,0.13556719110278537,0,1,0.9769821299407535,0.1021813436133305
1,0,-1.7081,1,4,0.975,0.5784615384615385,-0.16974812832760933,0.09543065852877419,0.13684473804031422,0,1,0.9761971820053057,0.10446637100547893
0,1,0.4043000000000001,0,5,0.3874601469017702,0.7117904211370244,-0.2641851136897968,0.8171243810022499,0.7872676114390882,1,0,0.38915336782151044,0.8245888901266603
0,1,2.4183999999999997,0,6,0.025000000000000022,0.44717948717948725,-0.12190899698803426,0.9494495189421293,0.8699809312900386,1,0,0.025639559924330542,0.9284861759191056
0,1,-0.2123,0,7,0.7212807014645534,1.5642978519643158,-0.7941716831012573,0.7412111959876063,0.7256227701774749,1,0,0.7134709629135432,0.758114197001947
1,1,-0.0492,1,8,0.6406471960256102,0.8803597416782478,1.1637854588537606,0.25808719152753007,0.3529679575436441,0,1,0.6286916083584184,0.2794358479514556
0,1,0.2486,0,9,0.4761804374108085,0.8323476844677059,-0.3316107522136016,0.7997621991876355,0.7823580703604063,1,0,0.472898548477827,0.8148507025261927
0,1,0.1899,0,10,0.5095575432906313,0.8889931816371462,-0.3807074377634365,0.7928998159641765,0.7676788820059721,1,0,0.50630931288293,0.8070973014071023
1,0,-0.9116,1,11,0.9222061594711317,0.6115769171650768,-0.25022622960561614,0.15738764408016018,0.31060525087681345,0,1,0.9335041553269692,0.19702545580296205
1,0,-0.0512,1,12,0.6416249185358064,0.8790182296645411,-0.4301241534120931,0.2578106621988321,0.3034659582106526,0,1,0.6296714887400781,0.2751031354145866
0,0,2.2698,0,13,0.025000000000000022,0.44717948717948725,0.9040407258454027,0.9441968555852333,0.7992586605608423,1,0,0.02877483024565661,0.901291545441733
1,0,0.1964,1,14,0.5093063666997497,1.1073884735717308,-0.5382762618020525,0.29349628914428183,0.29381603561335917,0,1,0.5029930855176279,0.2848690609002176
1,0,-2.0023,1,15,0.975,0.5784615384615385,-0.16128820688747791,0.07879243922885591,0.1823431529985615,0,1,0.9789440923677223,0.11198762884686689
0,1,0.4085,0,16,0.38540442118623697,0.7094095939341574,-0.2793007410462708,0.8175759250520631,0.7876851753405975,1,0,0.387046550385146,0.8248473475918555
1,0,-0.13940000000000002,1,17,0.6854626608711726,0.8228019295510531,-0.36622331943240716,0.24581092927064968,0.2895185319674387,0,1,0.6751623191874149,0.2505657759855987
